BRAND,MODEL,MODEL,BATT_CAPACITY
Abarth,500e Hatchback,2023,37.8
Abarth,600e Scorpionissima,2024,50.8
Abarth,500e Convertible,2023,37.8
Abarth,600e Turismo,2024,50.8
Abarth,500e Scorpionissima,2023,37.8
Aiways,U5,2020,60
Aiways,U5,2022,60
Aiways,U6,2022,60
Alfa Romeo,Junior Elettrica 54 kWh,2024,50.8
Alfa Romeo,Junior Elettrica 54 kWh Veloce,2024,50.8
Alpine,A290 Electric 220 hp,2024,52
Alpine,A290 Electric 180 hp,2024,52
Audi,e-tron 55 quattro,2020,86.5
Audi,Q6 SUV e-tron quattro,2024,94.9
Audi,Q8 SUV e-tron 55 quattro,2022,106
Audi,Q4 e-tron 45,2023,77
Audi,A6 Avant e-tron performance,2024,94.9
Audi,e-tron 50 quattro,2019,64.7
Audi,Q4 e-tron 40,2021,76.6
Audi,A6 Sportback e-tron performance,2024,94.9
Audi,e-tron GT quattro,2021,85
Audi,A6 Avant e-tron quattro,2024,94.9
Audi,Q4 e-tron 50 quattro,2021,76.6
Audi,Q4 e-tron 40,2025,59
Audi,A6 Avant e-tron,2024,75.8
Audi,e-tron GT RS performance,2024,97
Audi,S6 Avant e-tron,2024,94.9
Audi,Q6 SUV e-tron performance,2024,94.9
Audi,e-tron GT RS,2021,85
Audi,A6 Sportback e-tron,2024,75.8
Audi,Q4 e-tron 55 quattro,2023,77
Audi,e-tron GT S,2024,97
Audi,Q4 e-tron 35,2021,52
Audi,A6 Sportback e-tron quattro,2024,94.9
Audi,e-tron GT quattro,2025,97
Audi,Q6 SUV e-tron,2024,75.8
Audi,Q4 e-tron 35,2024,52
Audi,e-tron 50 quattro,2021,64.7
Audi,e-tron Sportback 55 quattro,2020,86.5
Audi,e-tron 55 quattro,2019,86.5
Audi,Q4 Sportback e-tron 45,2023,77
Audi,Q4 Sportback e-tron 40,2021,76.6
Audi,SQ6 SUV e-tron,2024,94.9
Audi,S6 Sportback e-tron,2024,94.9
Audi,Q6 Sportback e-tron,2024,75.8
Audi,Q6 Sportback e-tron performance,2024,94.9
Audi,Q4 Sportback e-tron 45 quattro,2023,77
Audi,e-tron S,2021,86.5
Audi,e-tron GT RS,2024,97
Audi,Q8 Sportback e-tron 55 quattro,2022,106
Audi,e-tron Sportback 50 quattro,2020,64.7
Audi,Q4 e-tron 45 quattro,2023,77
Audi,e-tron S Sportback,2021,86.5
Audi,e-tron 55 quattro,2019,86.5
Audi,Q4 Sportback e-tron 55 quattro,2023,77
Audi,Q8 SUV e-tron 50 quattro,2022,89
Audi,Q4 Sportback e-tron 40,2025,59
Audi,SQ6 Sportback e-tron,2024,94.9
Audi,Q4 Sportback e-tron 50 quattro,2021,76.6
Audi,Q6 Sportback e-tron quattro,2024,94.9
Audi,Q4 e-tron 45 quattro,2021,76.6
Audi,SQ8 SUV e-tron,2023,106
Audi,e-tron Sportback 55 quattro,2020,86.5
Audi,e-tron S,2020,86.5
Audi,Q4 Sportback e-tron 45 quattro,2022,76.6
Audi,Q4 Sportback e-tron 35,2021,52
Audi,Q8 Sportback e-tron 50 quattro,2022,89
Audi,Q4 Sportback e-tron 35,2024,52
Audi,e-tron S Sportback,2020,86.5
Audi,SQ8 Sportback e-tron,2023,106
Audi,e-tron Sportback 50 quattro,2021,64.7
BMW,iX3 50 xDrive,2025,108.7
BMW,iX xDrive40,2021,71
BMW,iX3,2021,74
BMW,iX1 xDrive30,2022,64.7
BMW,i3 120 Ah,2018,37.9
BMW,i4 eDrive40,2021,80.7
BMW,iX1 eDrive20,2023,64.7
BMW,iX xDrive50,2021,105.2
BMW,i4 eDrive35,2024,67.1
BMW,i4 M50,2021,80.7
BMW,i7 xDrive60,2022,101.7
BMW,i5 eDrive40 Sedan,2023,81.2
BMW,iX xDrive60,2025,109.1
BMW,i4 eDrive40,2025,81.3
BMW,i4 eDrive40,2024,81.3
BMW,iX xDrive45,2025,94.8
BMW,i4 M60 xDrive,2025,81.1
BMW,iX2 eDrive20,2024,64.7
BMW,i3s 120 Ah,2018,37.9
BMW,iX2 xDrive30,2023,64.7
BMW,i3 94 Ah,2016,27.2
BMW,i5 M60 xDrive Sedan,2023,81.2
BMW,i4 eDrive35,2022,67
BMW,i7 M70 xDrive,2023,101.7
BMW,i3 60 Ah,2013,18.8
BMW,iX M60,2022,105.2
BMW,iX M70 xDrive,2025,108.9
BMW,i4 M50,2024,81.3
BMW,i5 eDrive40 Touring,2024,81.2
BMW,i5 eDrive40 Sedan (MY25),2025,81.2
BMW,i4 eDrive35,2025,67.1
BMW,i7 eDrive50,2023,101.7
BMW,i3 94 Ah,2017,27.2
BMW,i5 eDrive40 Touring (MY25),2025,81.2
BMW,iX3,2020,74
BMW,i4 xDrive40,2024,81.3
BMW,i4 xDrive40,2025,81.1
BMW,i5 M60 xDrive Sedan (MY25),2025,81.2
BMW,i5 xDrive40 Sedan,2024,81.2
BMW,i5 xDrive40 Sedan (MY25),2025,81.2
BMW,i5 xDrive40 Touring,2024,81.2
BMW,i5 xDrive40 Touring (MY25),2025,81.2
BMW,i5 M60 xDrive Touring (MY25),2025,81.2
BMW,i5 M60 xDrive Touring,2024,81.2
BMW,i3s 94 Ah,2017,27.2
BYD,ATTO 3 (MY23-24),2022,60.48
BYD,SEALION 7 91.3 kWh AWD Excellence,2024,91.3
BYD,ATTO 2,2025,45.12
BYD,DOLPHIN 60.4 kWh (MY25),2025,60.48
BYD,SEAL 82.5 kWh AWD Excellence,2023,82.5
BYD,DOLPHIN 60.4 kWh (MY24),2023,60.48
BYD,DOLPHIN SURF 43.2 kWh Comfort,2025,43.2
BYD,TANG Flagship,2024,108.8
BYD,SEALION 7 82.5 kWh RWD Comfort,2024,82.5
BYD,ATTO 3 (MY25),2025,60.48
BYD,SEAL U 87 kWh Design,2024,87
BYD,HAN,2023,85.4
BYD,SEAL 82.5 kWh RWD Design,2023,82.5
BYD,DOLPHIN SURF 43.2 kWh Boost,2025,43.2
BYD,DOLPHIN SURF 30 kWh Active,2025,30
BYD,SEAL U 71.8 kWh Comfort,2024,71.8
BYD,SEALION 7 82.5 kWh AWD Design,2024,82.5
BYD,ATTO 2 64.8 kWh,2025,58
BYD,TANG,2022,86.4
BYD,SEAL 61.4 kWh RWD Comfort,2025,61.4
BYD,DOLPHIN 44.9 kWh Active (MY24),2023,44.9
BYD,DOLPHIN 44.9 kWh Boost (MY24),2023,44.9
Cadillac,LYRIQ 600 E4 (MY24),2024,102
Cadillac,OPTIQ 500 E4 (MY26),2025,75
Cadillac,LYRIQ-V (MY26),2025,91
Cadillac,VISTIQ 900 E4 (MY26),2025,91
Citroën,ë-C3 Comfort Range 44 kWh,2024,43.8
Citroën,C5 Aircross Long Range,2025,96.9
Citroën,ë-C4,2021,46.3
Citroën,ë-C3 Aircross Extended Range 54 kWh,2025,53.5
Citroën,C5 Aircross Comfort Range,2025,73.7
Citroën,ë-C3 Aircross Comfort Range 44 kWh,2024,43.8
Citroën,ë-C4,2024,46.3
Citroën,ë-C4 X,2022,46.3
Citroën,ë-C3 Urban Range 30 kWh,2025,29.8
Citroën,ë-C4 X 54 kWh,2024,50.8
Citroën,C-Zero,2016,14.5
Citroën,ë-C4 54 kWh,2024,50.8
Citroën,ë-C4 X,2024,46.3
Citroën,ë-C4 X 54 kWh,2023,50.8
Citroën,ë-Berlingo M 50 kWh,2021,46.3
Citroën,ë-Berlingo M 50 kWh,2024,50
Citroën,C-Zero,2011,14.5
Citroën,ë-Jumpy Combi M 75 kWh,2020,69
Citroën,ë-SpaceTourer M 75 kWh,2024,69
Citroën,ë-C4,2020,46.3
Citroën,ë-Berlingo XL 50 kWh,2024,50
Citroën,ë-Berlingo Multispace,2017,20.5
Citroën,ë-C4 54 kWh,2023,50.8
Citroën,ë-Jumpy Combi XL 75 kWh,2020,69
Citroën,ë-Berlingo XL 50 kWh,2021,46.3
Citroën,ë-SpaceTourer M 50 kWh,2020,46.3
Citroën,ë-SpaceTourer M 75 kWh,2021,69
Citroën,ë-SpaceTourer XL 50 kWh,2024,46.3
Citroën,ë-SpaceTourer XL 75 kWh,2024,69
Citroën,ë-SpaceTourer M 50 kWh,2024,46.3
Citroën,ë-Jumpy Combi XL 50 kWh,2020,46.3
Citroën,ë-Jumpy Combi M 50 kWh,2020,46.3
Citroën,ë-Jumpy Combi XS 50 kWh,2020,46.3
Citroën,ë-SpaceTourer XL 50 kWh,2020,46.3
Citroën,ë-SpaceTourer XL 75 kWh,2021,69
Citroën,ë-SpaceTourer XS 50 kWh,2020,46.3
CUPRA,Born 150 kW - 58 kWh,2021,58
CUPRA,Born 170 kW - 77 kWh,2022,77
CUPRA,Tavascan Endurance,2024,77
CUPRA,Born 170 kW - 79 kWh,2025,79
CUPRA,Tavascan VZ,2024,77
CUPRA,Born VZ,2024,79
CUPRA,Born 170 kW - 59 kWh,2024,59
CUPRA,Born 170 kW - 77 kWh,2024,77
CUPRA,Born 150 kW - 59 kWh,2025,59
CUPRA,Born 170 kW - 58 kWh,2022,58
Dacia,Spring Electric 45,2024,25
Dacia,Spring Electric 65,2024,25
Dacia,Spring Electric 45,2022,25
Dacia,Spring Electric,2021,25
Dacia,Spring Electric,2021,25
Dacia,Spring Electric 65 Extreme,2023,25
Dongfeng,Box 42.3 kWh,2024,40
Dongfeng,Box 31.4 kWh,2025,29
DS Automobiles,N°8 FWD Long Range,2024,97.2
DS Automobiles,N°8 AWD Long Range,2024,97.2
DS Automobiles,N°4 E-Tense,2025,58.3
DS Automobiles,DS 3 E-Tense,2022,50.8
DS Automobiles,DS 3 Crossback E-Tense,2021,46.3
DS Automobiles,DS 3 Crossback E-Tense,2020,46.3
DS Automobiles,N°8 FWD,2024,73.7
e.GO,e.wave X,2022,27
Elaris,BEO 86 kWh,2023,81
Fiat,500e Hatchback 42 kWh,2020,37.3
Fiat,Grande Panda,2024,43.8
Fiat,600e,2023,50.8
Fiat,500e Hatchback 24 kWh,2020,21.3
Fiat,500e 3+1 42 kWh,2020,37.3
Fiat,500e Cabrio 42 kWh,2020,37.3
Fiat,500e 3+1 24 kWh,2022,21.3
Fiat,500e Cabrio 24 kWh,2022,21.3
Fiat,E-Ulysse L2 75 kWh,2022,69
Fiat,E-Ulysse L3 75 kWh,2022,69
Fiat,E-Ulysse L2 50 kWh,2022,46.3
Fiat,E-Ulysse L3 50 kWh,2022,46.3
firefly,firefly,2025,41.2
Fisker,Ocean One,2023,106.5
Fisker,Ocean Extreme,2023,106.5
Fisker,Ocean Ultra,2023,106.5
Fisker,Ocean Sport,2023,71
Ford,Puma Gen-E,2024,43.6
Ford,Explorer Extended Range RWD,2024,77
Ford,Capri Extended Range RWD,2024,77
Ford,Mustang Mach-E ER RWD (MY24),2024,91
Ford,Explorer Extended Range AWD,2024,79
Ford,Explorer Standard Range RWD,2024,52
Ford,Capri Extended Range AWD,2024,79
Ford,e-Tourneo Courier,2024,43.6
Ford,Mustang Mach-E ER RWD (MY21),2021,88
Ford,Focus Electric,2013,19.55
Ford,Mustang Mach-E ER AWD (MY22),2022,91
Ford,Mustang Mach-E ER AWD (MY23.75),2023,91
Ford,Capri Standard Range RWD,2024,52
Ford,e-Tourneo Custom L2 210 kW,2023,64
Ford,Mustang Mach-E SR RWD (MY21),2021,68
Ford,Mustang Mach-E GT (MY25),2025,91
Ford,Explorer Extended Range RWD,2024,79
Ford,Mustang Mach-E ER AWD (MY23),2022,91
Ford,Mustang Mach-E ER AWD (MY24),2024,91
Ford,Mustang Mach-E ER RWD (MY25),2025,88
Ford,Mustang Mach-E GT (MY24),2024,91
Ford,Mustang Mach-E ER AWD (MY21),2021,88
Ford,Mustang Mach-E SR RWD (MY23.75),2023,72.6
Ford,Mustang Mach-E GT (MY23.75),2023,91
Ford,Mustang Mach-E ER RWD (MY22),2022,91
Ford,Mustang Mach-E SR RWD (MY24),2024,72.6
Ford,Mustang Mach-E Rally (MY24),2024,91
Ford,Mustang Mach-E ER RWD (MY23.75),2023,91
Ford,e-Tourneo Custom L1 160 kW,2023,64
Ford,Mustang Mach-E SR AWD (MY21),2021,68
Ford,Mustang Mach-E SR RWD (MY23),2022,70
Ford,Mustang Mach-E ER AWD (MY25),2025,88
Ford,Mustang Mach-E ER RWD (MY23),2022,91
Ford,Mustang Mach-E SR RWD (MY25),2025,72.6
Ford,Mustang Mach-E GT (MY21),2021,88
Ford,Mustang Mach-E SR AWD (MY22),2022,70
Ford,Mustang Mach-E GT (MY23),2022,91
Ford,Mustang Mach-E GT (MY22),2022,91
Ford,Mustang Mach-E SR AWD (MY24),2024,72.6
Ford,Mustang Mach-E SR RWD (MY22),2022,70
Ford,e-Tourneo Custom L2 160 kW,2023,64
Ford,e-Tourneo Custom L1 210 kW,2023,64
Ford,Mustang Mach-E Rally (MY25),2025,91
Ford,Mustang Mach-E SR AWD (MY23.75),2023,72.6
Ford,Mustang Mach-E SR AWD (MY23),2022,70
Geely,EX5,2025,60.22
Genesis,G80 Electrified Luxury (MY22-24),2022,82.5
Genesis,GV60 Premium (MY22-24),2022,74
Genesis,GV60 Performance (MY25),2025,80
Genesis,GV70 Electrified Sport (MY22-24),2022,74
Genesis,GV60 Sport (MY25),2025,80
Genesis,G80 Electrified (MY25),2025,90
Genesis,GV70 Electrified (MY25),2025,80
Genesis,GV60 Pure (MY25),2025,80
Genesis,GV60 Sport Plus (MY22-24),2022,74
Genesis,GV60 Sport (MY22-24),2022,74
GWM,ORA 03 48 kWh,2024,45.4
GWM,ORA 07 Pure,2024,64.3
GWM,ORA 07 GT,2024,83.5
GWM,ORA 03 63 kWh,2024,59.3
GWM,ORA 03 GT,2024,59.3
GWM,ORA 07 Pro,2024,64.3
Honda,e:Ny1,2023,61.9
Honda,e,2020,28.5
Honda,e Advance,2020,28.5
Hongqi,E-HS9 99 kWh,2022,90
Hongqi,E-HS9 84 kWh,2022,76.5
Hongqi,E-HS9 120 kWh,2023,112
Hongqi,E-HS7 111 kWh Long Range,2025,95.3
Hongqi,E-HS7 111 kWh AWD Pro,2025,95.3
Hyundai,Kona Electric 65 kWh,2023,65.4
Hyundai,IONIQ 5 84 kWh RWD (MY24),2024,80
Hyundai,INSTER Long Range,2024,46
Hyundai,Kona Electric 64 kWh,2021,64
Hyundai,IONIQ 6 Long Range 2WD,2022,74
Hyundai,IONIQ Electric,2019,38.3
Hyundai,Kona Electric 64 kWh,2019,64
Hyundai,IONIQ 5 63 kWh RWD (MY24),2024,60
Hyundai,IONIQ 5 Long Range 2WD (MY22),2022,74
Hyundai,IONIQ 6 Standard Range 2WD,2023,50
Hyundai,IONIQ Electric,2016,28
Hyundai,IONIQ 6 Long Range AWD,2022,74
Hyundai,IONIQ 5 N (MY24),2023,80
Hyundai,INSTER Standard Range,2024,39
Hyundai,IONIQ 5 84 kWh AWD (MY24),2024,80
Hyundai,IONIQ 9 Long Range AWD,2025,106
Hyundai,Kona Electric 39 kWh,2021,39.2
Hyundai,IONIQ 5 Standard Range 2WD (MY21),2021,54
Hyundai,IONIQ 5 Long Range AWD (MY22),2022,74
Hyundai,IONIQ 5 Long Range 2WD (MY21),2021,70
Hyundai,IONIQ 9 Long Range RWD,2025,106
Hyundai,Kona Electric 48 kWh,2023,48.4
Hyundai,IONIQ 9 Performance AWD,2025,106
Hyundai,Kona Electric 64 kWh,2018,64
Hyundai,IONIQ 5 Long Range AWD (MY21),2021,70
Hyundai,Kona Electric 39 kWh,2019,39.2
Hyundai,IONIQ 5 Project 45 (MY21),2021,70
Hyundai,IONIQ 5 Standard Range AWD (MY21),2021,54
Hyundai,Kona Electric 39 kWh,2018,39.2
JAC,iEV7s,2021,39
Jaecoo,5 EV,2025,58.9
Jaguar,I-Pace EV400,2023,84.7
Jaguar,I-Pace EV400,2020,84.7
Jaguar,I-Pace EV400,2018,84.7
Jaguar,I-Pace EV320,2020,84.7
Jeep,Avenger Electric,2023,50.8
Jeep,Compass Electric 74 kWh,2025,74
Jeep,Avenger Electric 1st Edition,2023,50.8
KGM,Torres EVX,2024,72
KGM,Musso EV 4WD,2025,81
KGM,Musso EV 2WD,2025,81
Kia,EV3 Long Range,2024,78
Kia,PV5 Passenger 71.2 kWh (MY26),2025,67
Kia,Niro EV,2022,64.8
Kia,EV4 Hatchback 81.4 kWh,2025,78
Kia,EV5 81.4 kWh (MY26),2025,78
Kia,EV3 Standard Range,2024,55
Kia,EV6 Long Range 2WD,2021,74
Kia,e-Niro 64 kWh,2020,64
Kia,EV6 Long Range AWD,2024,80
Kia,EV9 99.8 kWh AWD,2023,96
Kia,EV4 Fastback 81.4 kWh,2025,78
Kia,EV6 Long Range 2WD,2024,80
Kia,EV6 GT,2022,74
Kia,e-Niro 64 kWh,2020,64
Kia,EV6 GT,2025,80
Kia,EV9 99.8 kWh RWD,2023,96
Kia,EV6 Long Range AWD,2021,74
Kia,EV6 Standard Range 2WD,2024,60
Kia,Soul EV,2017,30
Kia,EV4 Hatchback 58.3 kWh,2025,55
Kia,EV9 99.8 kWh AWD GT-Line,2023,96
Kia,e-Niro 64 kWh,2018,64
Kia,e-Soul 64 kWh,2022,64
Kia,Soul EV,2014,27
Kia,PV5 Passenger 51.5 kWh (MY26),2025,48
Kia,EV6 Standard Range 2WD,2021,54
Kia,EV9 99.8 kWh AWD GT,2025,96
Kia,e-Soul 64 kWh,2020,64
Kia,EV9 76.1 kWh RWD,2024,73
Kia,e-Niro 39 kWh,2020,39.2
Kia,e-Soul 39 kWh,2020,39.2
Kia,e-Soul 64 kWh,2020,64
Kia,e-Niro 39 kWh,2020,39.2
Kia,e-Niro 39 kWh,2019,39.2
Kia,e-Soul 39.2 kWh,2022,39.2
Kia,e-Soul 39 kWh,2020,39.2
Lancia,Ypsilon (MY24),2024,48.1
Lancia,Ypsilon 54 kWh (MY25),2025,50.8
Lancia,Ypsilon 54 kWh HF (MY25),2025,50.8
Leapmotor,B10 67.1 kWh,2025,65
Leapmotor,T03,2024,36
Leapmotor,C10,2024,69.9
Leapmotor,B10 56.2 kWh,2025,55
Lexus,RZ 450e (MY23-25),2023,64
Lexus,RZ 500e (MY26),2025,72
Lexus,UX 300e,2020,45
Lexus,RZ 350e (MY26),2025,72
Lexus,RZ 300e (MY23-25),2023,64
Lexus,UX 300e,2023,64
Lexus,RZ 550e F SPORT (MY26),2025,72
Lightyear,0,2022,60
Lotus,Eletre,2023,109
Lotus,Emeya 600,2025,98.9
Lotus,Eletre R,2023,109
Lotus,Emeya,2024,98.9
Lotus,Eletre 600,2025,109
Lotus,Emeya R,2024,98.9
Lotus,Eletre S,2023,109
Lotus,Eletre 900,2025,109
Lotus,Emeya 900,2025,98.9
Lotus,Emeya S,2024,98.9
